windowDuration_s,signalName,arOrder,medianDeltaAIC_relativeToAR1,fractionOfProbeFitsLocallyBest
60,ptoForce_N,6,-5063.50428872599,0.0116666666666667
60,ptoForce_N,7,-5627.51768235471,0.0266666666666667
60,ptoForce_N,8,-6246.8195839146,0.0283333333333333
60,ptoForce_N,9,-6692.8991711973,0.01
60,ptoForce_N,10,-7173.04880533034,0.00833333333333333
60,ptoForce_N,11,-7538.26902357374,0.00666666666666667
60,ptoForce_N,12,-7933.7148168824,0
60,ptoForce_N,13,-8237.32748954074,0
60,ptoForce_N,14,-8513.01549061177,0
60,ptoForce_N,15,-8744.89588073725,0
60,ptoForce_N,16,-9052.48219449358,0
60,ptoForce_N,17,-9297.05225046515,0
60,ptoForce_N,18,-9603.99176563397,0
60,ptoForce_N,19,-9876.14369003531,0
60,ptoForce_N,20,-10143.7046731343,0.903333333333333
