windowDuration_s,signalName,arOrder,medianDeltaAIC_relativeToAR1,fractionOfProbeFitsLocallyBest
30,relDisp_m,17,-5034.39257141296,0
30,relDisp_m,18,-5166.95790243057,0
30,relDisp_m,19,-5303.34425512529,0
30,relDisp_m,20,-5450.55633864084,0.9
30,relVel_mps,1,0,0
30,relVel_mps,2,-756.056342468897,0
30,relVel_mps,3,-1185.04210618588,0
30,relVel_mps,4,-1750.72563639861,0
30,relVel_mps,5,-2109.80068732535,0.0316666666666667
30,relVel_mps,6,-2513.89193330036,0.0133333333333333
30,relVel_mps,7,-2797.99535236102,0.0316666666666667
30,relVel_mps,8,-3105.90331498658,0.01
30,relVel_mps,9,-3340.96295558273,0.005
30,relVel_mps,10,-3576.74903163762,0.00166666666666667
30,relVel_mps,11,-3764.22070378047,0.00333333333333333
30,relVel_mps,12,-3954.38583865541,0.00166666666666667
30,relVel_mps,13,-4105.97255763351,0
30,relVel_mps,14,-4231.39788717276,0
30,relVel_mps,15,-4345.29370970958,0
30,relVel_mps,16,-4490.54028329947,0
30,relVel_mps,17,-4618.98086168607,0
30,relVel_mps,18,-4770.68935181477,0
30,relVel_mps,19,-4898.34494676304,0
30,relVel_mps,20,-5031.48707742404,0.901666666666667
30,ptoForce_N,1,0,0
30,ptoForce_N,2,-756.056342468908,0
30,ptoForce_N,3,-1185.04210618586,0
30,ptoForce_N,4,-1750.72563639862,0
30,ptoForce_N,5,-2109.80068732565,0.0316666666666667
30,ptoForce_N,6,-2513.8919332986,0.0133333333333333
30,ptoForce_N,7,-2797.99535235803,0.0316666666666667
30,ptoForce_N,8,-3105.90331497257,0.01
30,ptoForce_N,9,-3340.96295557211,0.005
30,ptoForce_N,10,-3576.7490315396,0.00166666666666667
30,ptoForce_N,11,-3764.22070332941,0.00333333333333333
30,ptoForce_N,12,-3954.3858335244,0.00166666666666667
30,ptoForce_N,13,-4105.97256019336,0
30,ptoForce_N,14,-4231.39785169703,0
30,ptoForce_N,15,-4345.29372720685,0
30,ptoForce_N,16,-4490.54010578431,0
30,ptoForce_N,17,-4618.98160457338,0
30,ptoForce_N,18,-4770.69115204494,0
30,ptoForce_N,19,-4898.34107659796,0
30,ptoForce_N,20,-5031.5384703889,0.901666666666667
